onset	duration	sample	funded	choice	category	project_id	trial_type
383.914	0	383914	0	0	place	PR82	image
401.914	0	401914	0	0	place	PR64	image
419.897	0	419897	1	0	place	PR63	image
435.897	0	435897	1	0	face	PR06	image
453.897	0	453897	0	0	place	PR65	image
471.898	0	471898	1	0	place	PR69	image
487.898	0	487898	0	0	face	PR32	image
505.898	0	505898	1	0	face	PR24	image
521.881	0	521881	1	0	place	PR77	image
536.898	0	536898	1	0	face	PR03	image
551.914	0	551914	0	0	face	PR33	image
569.881	0	569881	1	0	face	PR29	image
587.881	0	587881	1	0	face	PR19	image
602.915	0	602915	0	0	face	PR37	image
620.898	0	620898	0	0	place	PR56	image
636.898	0	636898	0	0	face	PR15	image
652.898	0	652898	1	0	face	PR26	image
670.882	0	670882	0	0	place	PR50	image
686.898	0	686898	1	0	face	PR12	image
701.865	0	701865	1	0	face	PR30	image
717.882	0	717882	1	0	place	PR57	image
733.898	0	733898	1	0	place	PR71	image
751.898	0	751898	0	0	place	PR83	image
769.865	0	769865	0	0	place	PR55	image
785.882	0	785882	1	0	face	PR01	image
800.882	0	800882	1	0	face	PR21	image
818.882	0	818882	0	0	place	PR90	image
836.865	0	836865	1	0	face	PR09	image
852.865	0	852865	0	0	face	PR17	image
867.866	0	867866	0	0	face	PR39	image
883.866	0	883866	0	0	face	PR08	image
901.866	0	901866	0	0	face	PR36	image
917.866	0	917866	0	0	face	PR07	image
933.882	0	933882	0	0	face	PR40	image
951.882	0	951882	0	0	face	PR46	image
969.866	0	969866	0	0	face	PR47	image
987.866	0	987866	0	0	face	PR35	image
1002.866	0	1002866	1	0	place	PR67	image
1018.866	0	1018866	1	0	place	PR73	image
1033.849	0	1033849	1	0	face	PR25	image
1051.85	0	1051850	0	0	place	PR84	image
1067.866	0	1067866	0	0	face	PR34	image
1083.866	0	1083866	0	0	place	PR52	image
1101.866	0	1101866	1	0	face	PR11	image
1116.85	0	1116850	1	0	place	PR72	image
1131.866	0	1131866	1	0	face	PR13	image
1149.85	0	1149850	1	0	face	PR20	image
1164.85	0	1164850	1	0	face	PR42	image
1182.85	0	1182850	0	0	place	PR59	image
1200.85	0	1200850	1	0	face	PR05	image
1218.85	0	1218850	0	0	face	PR04	image
1234.834	0	1234834	0	0	place	PR62	image
1252.85	0	1252850	1	0	place	PR66	image
1267.85	0	1267850	0	0	place	PR53	image
1285.85	0	1285850	1	0	face	PR31	image
1300.85	0	1300850	0	0	face	PR14	image
1316.85	0	1316850	1	0	face	PR18	image
1332.834	0	1332834	1	0	place	PR70	image
1347.834	0	1347834	1	0	place	PR51	image
1365.851	0	1365851	0	0	place	PR85	image
1381.834	0	1381834	1	0	place	PR81	image
1396.834	0	1396834	1	0	face	PR22	image
1414.818	0	1414818	0	0	face	PR45	image
1429.851	0	1429851	0	0	place	PR60	image
1445.834	0	1445834	1	0	face	PR23	image
1460.834	0	1460834	1	0	place	PR78	image
1475.834	0	1475834	0	0	face	PR38	image
1493.834	0	1493834	0	0	place	PR87	image
1508.835	0	1508835	1	0	face	PR02	image
1524.818	0	1524818	1	0	face	PR48	image
1540.835	0	1540835	0	0	place	PR68	image
1556.818	0	1556818	1	0	face	PR10	image
1572.818	0	1572818	0	0	face	PR00	image
1590.818	0	1590818	1	0	place	PR79	image
1605.818	0	1605818	0	0	place	PR61	image
1623.818	0	1623818	1	0	face	PR27	image
1638.802	0	1638802	1	0	place	PR74	image
1653.818	0	1653818	1	0	face	PR41	image
1669.818	0	1669818	0	0	place	PR88	image
1685.818	0	1685818	1	0	place	PR75	image
1700.819	0	1700819	1	0	place	PR80	image
1718.802	0	1718802	0	0	place	PR58	image
1733.819	0	1733819	0	0	place	PR89	image
1748.802	0	1748802	0	0	place	PR86	image
1764.802	0	1764802	1	0	face	PR44	image
1780.802	0	1780802	0	0	place	PR49	image
1798.819	0	1798819	0	0	place	PR54	image
1814.819	0	1814819	1	0	face	PR28	image
1830.802	0	1830802	0	0	face	PR43	image
1845.802	0	1845802	0	0	face	PR16	image
1860.802	0	1860802	1	0	place	PR76	image
