onset	duration	sample	funded	choice	category	project_id	trial_type
362.679	0	362679	1	n/a	place	PR67	image
380.679	0	380679	1	0.0	place	PR80	image
398.662	0	398662	0	1.0	face	PR46	image
414.662	0	414662	0	1.0	face	PR07	image
432.663	0	432663	0	0.0	place	PR53	image
450.663	0	450663	1	0.0	place	PR69	image
466.663	0	466663	1	n/a	face	PR19	image
484.663	0	484663	1	0.0	face	PR21	image
500.663	0	500663	1	0.0	face	PR25	image
515.663	0	515663	0	1.0	face	PR39	image
530.646	0	530646	1	1.0	face	PR09	image
548.646	0	548646	1	0.0	face	PR11	image
566.646	0	566646	0	1.0	face	PR04	image
581.646	0	581646	0	1.0	place	PR60	image
599.646	0	599646	1	1.0	place	PR78	image
615.646	0	615646	1	0.0	face	PR23	image
631.646	0	631646	0	1.0	face	PR43	image
649.663	0	649663	0	0.0	face	PR17	image
665.646	0	665646	1	0.0	face	PR06	image
680.646	0	680646	0	0.0	place	PR90	image
696.646	0	696646	0	0.0	place	PR54	image
712.647	0	712647	1	0.0	place	PR57	image
730.63	0	730630	1	0.0	face	PR01	image
748.647	0	748647	0	1.0	face	PR37	image
764.63	0	764630	0	0.0	place	PR87	image
779.63	0	779630	0	0.0	place	PR56	image
797.647	0	797647	1	0.0	face	PR20	image
815.63	0	815630	0	1.0	face	PR36	image
831.63	0	831630	0	0.0	place	PR86	image
846.647	0	846647	0	1.0	face	PR16	image
862.614	0	862614	1	0.0	place	PR51	image
880.614	0	880614	1	1.0	place	PR66	image
896.63	0	896630	0	0.0	place	PR59	image
912.63	0	912630	0	0.0	place	PR64	image
930.614	0	930614	0	0.0	place	PR65	image
948.631	0	948631	1	n/a	place	PR77	image
966.614	0	966614	1	1.0	face	PR42	image
981.614	0	981614	0	0.0	place	PR83	image
997.614	0	997614	0	0.0	face	PR15	image
1012.614	0	1012614	1	n/a	face	PR26	image
1030.631	0	1030631	0	0.0	place	PR82	image
1046.614	0	1046614	1	1.0	place	PR81	image
1062.614	0	1062614	0	0.0	face	PR08	image
1080.598	0	1080598	0	0.0	place	PR68	image
1095.614	0	1095614	1	0.0	face	PR31	image
1110.614	0	1110614	1	0.0	place	PR73	image
1128.598	0	1128598	1	0.0	place	PR79	image
1143.614	0	1143614	1	1.0	face	PR30	image
1161.615	0	1161615	1	0.0	place	PR76	image
1179.615	0	1179615	1	0.0	face	PR02	image
1197.615	0	1197615	0	0.0	place	PR52	image
1213.598	0	1213598	0	1.0	face	PR47	image
1231.615	0	1231615	0	0.0	face	PR45	image
1246.615	0	1246615	1	0.0	face	PR41	image
1264.582	0	1264582	1	0.0	place	PR72	image
1279.598	0	1279598	0	0.0	face	PR32	image
1295.598	0	1295598	0	0.0	face	PR38	image
1311.615	0	1311615	1	1.0	face	PR05	image
1326.598	0	1326598	0	0.0	place	PR62	image
1344.598	0	1344598	0	0.0	place	PR55	image
1360.598	0	1360598	1	0.0	face	PR28	image
1375.599	0	1375599	1	0.0	face	PR29	image
1393.582	0	1393582	1	0.0	face	PR24	image
1408.582	0	1408582	0	0.0	face	PR34	image
1424.599	0	1424599	0	1.0	place	PR49	image
1439.599	0	1439599	0	0.0	face	PR33	image
1454.582	0	1454582	1	1.0	face	PR10	image
1472.599	0	1472599	0	0.0	place	PR88	image
1487.582	0	1487582	1	0.0	place	PR75	image
1503.599	0	1503599	1	0.0	face	PR22	image
1519.599	0	1519599	1	0.0	face	PR27	image
1535.599	0	1535599	0	0.0	place	PR50	image
1551.582	0	1551582	0	0.0	place	PR58	image
1569.582	0	1569582	1	0.0	face	PR44	image
1584.599	0	1584599	0	0.0	face	PR35	image
1602.599	0	1602599	1	0.0	face	PR12	image
1617.583	0	1617583	1	0.0	face	PR03	image
1632.566	0	1632566	0	0.0	place	PR84	image
1648.599	0	1648599	1	0.0	place	PR71	image
1664.566	0	1664566	0	0.0	place	PR89	image
1679.583	0	1679583	1	0.0	place	PR70	image
1697.583	0	1697583	1	0.0	place	PR74	image
1712.583	0	1712583	1	0.0	face	PR48	image
1727.566	0	1727566	1	0.0	face	PR13	image
1743.566	0	1743566	1	0.0	face	PR18	image
1759.566	0	1759566	1	0.0	place	PR63	image
1777.55	0	1777550	0	0.0	face	PR40	image
1793.566	0	1793566	0	0.0	place	PR61	image
1809.567	0	1809567	0	0.0	face	PR00	image
1824.583	0	1824583	0	0.0	place	PR85	image
1839.55	0	1839550	0	0.0	face	PR14	image
