onset	duration	sample	funded	choice	category	project_id	trial_type
362.347	0	362347	0	0	face	PR14	image
380.347	0	380347	1	0	place	PR79	image
398.33	0	398330	1	0	face	PR12	image
414.313	0	414313	1	0	face	PR22	image
432.33	0	432330	1	0	face	PR06	image
450.33	0	450330	0	0	place	PR86	image
466.347	0	466347	0	0	face	PR15	image
484.314	0	484314	1	0	place	PR78	image
500.314	0	500314	0	0	place	PR88	image
515.33	0	515330	1	0	face	PR30	image
530.314	0	530314	1	0	face	PR13	image
548.314	0	548314	1	0	face	PR20	image
566.314	0	566314	1	0	place	PR72	image
581.331	0	581331	1	0	place	PR76	image
599.314	0	599314	1	0	face	PR23	image
615.314	0	615314	1	1	face	PR03	image
631.314	0	631314	0	0	face	PR34	image
649.314	0	649314	0	0	place	PR82	image
665.331	0	665331	1	0	face	PR48	image
680.298	0	680298	0	1	face	PR17	image
696.298	0	696298	0	0	face	PR32	image
712.331	0	712331	1	0	place	PR70	image
730.298	0	730298	0	0	place	PR53	image
748.298	0	748298	1	1	face	PR02	image
764.315	0	764315	0	0	face	PR08	image
779.315	0	779315	0	1	face	PR04	image
797.298	0	797298	0	0	place	PR85	image
815.298	0	815298	0	0	place	PR61	image
831.315	0	831315	0	0	place	PR62	image
846.298	0	846298	0	0	place	PR52	image
862.282	0	862282	0	0	place	PR65	image
880.282	0	880282	1	1	face	PR18	image
896.299	0	896299	1	1	face	PR28	image
912.299	0	912299	0	0	face	PR47	image
930.282	0	930282	1	0	face	PR44	image
948.282	0	948282	0	1	face	PR36	image
966.282	0	966282	1	0	place	PR74	image
981.299	0	981299	1	0	place	PR57	image
997.282	0	997282	0	0	face	PR39	image
1012.299	0	1012299	1	1	place	PR75	image
1030.282	0	1030282	1	1	face	PR05	image
1046.282	0	1046282	0	0	face	PR35	image
1062.282	0	1062282	0	0	place	PR84	image
1080.283	0	1080283	1	1	face	PR09	image
1095.283	0	1095283	0	1	place	PR64	image
1110.283	0	1110283	0	1	face	PR46	image
1128.266	0	1128266	0	0	face	PR37	image
1143.266	0	1143266	0	0	place	PR55	image
1161.283	0	1161283	0	0	face	PR07	image
1179.3	0	1179300	1	0	place	PR71	image
1197.266	0	1197266	1	0	place	PR51	image
1213.266	0	1213266	0	0	place	PR89	image
1231.266	0	1231266	0	1	face	PR43	image
1246.266	0	1246266	0	0	face	PR33	image
1264.25	0	1264250	1	1	face	PR31	image
1279.267	0	1279267	0	0	place	PR56	image
1295.283	0	1295283	1	0	place	PR63	image
1311.283	0	1311283	1	0	face	PR26	image
1326.25	0	1326250	1	0	face	PR21	image
1344.267	0	1344267	0	0	place	PR50	image
1360.267	0	1360267	1	0	place	PR81	image
1375.25	0	1375250	0	0	place	PR54	image
1393.267	0	1393267	0	1	face	PR38	image
1408.25	0	1408250	1	0	face	PR29	image
1424.267	0	1424267	0	1	place	PR60	image
1439.25	0	1439250	1	1	place	PR66	image
1454.251	0	1454251	1	1	place	PR77	image
1472.267	0	1472267	1	0	face	PR25	image
1487.251	0	1487251	0	0	face	PR45	image
1503.251	0	1503251	1	0	place	PR73	image
1519.267	0	1519267	0	0	place	PR59	image
1535.267	0	1535267	1	1	face	PR41	image
1551.234	0	1551234	1	0	place	PR69	image
1569.251	0	1569251	0	1	place	PR68	image
1584.251	0	1584251	0	0	place	PR87	image
1602.251	0	1602251	0	1	face	PR16	image
1617.234	0	1617234	1	0	face	PR19	image
1632.234	0	1632234	0	0	place	PR83	image
1648.251	0	1648251	1	1	face	PR42	image
1664.235	0	1664235	1	0	face	PR11	image
1679.235	0	1679235	1	1	face	PR01	image
1697.235	0	1697235	0	0	place	PR90	image
1712.235	0	1712235	1	0	place	PR80	image
1727.235	0	1727235	0	1	face	PR00	image
1743.235	0	1743235	1	0	face	PR27	image
1759.235	0	1759235	1	1	face	PR10	image
1777.235	0	1777235	0	1	face	PR40	image
1793.235	0	1793235	1	0	face	PR24	image
1809.235	0	1809235	0	0	place	PR58	image
1824.235	0	1824235	1	0	place	PR67	image
1839.219	0	1839219	0	0	place	PR49	image
